"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Mon","41.9 (2017)"
"Mokokchung","55.7 (2017)"
"Zunheboto","16.8 (2017)"
"Wokha","57.9 (2017)"
"Dimapur","46 (2017)"
"Phek","53.7 (2017)"
"Tuensang","21.2 (2017)"
"Longleng","35.1 (2017)"
"Kiphire","49.5 (2017)"
"Kohima","55.7 (2017)"
"Peren","50 (2017)"
