"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Kasaragod","61.7 (2017)"
"Kannur","65.8 (2017)"
"Kozhikode","64.7 (2017)"
"Malappuram","62.6 (2017)"
"Ernakulam","63.8 (2017)"
"Idukki","59.3 (2017)"
"Kottayam","62.9 (2017)"
"Alappuzha","62.3 (2017)"
"Kollam","66.9 (2017)"
"Wayanad","60.5 (2017)"
"Palakkad","62 (2017)"
"Thrissur","62.6 (2017)"
"Pathanamthitta","62.2 (2017)"
"Thiruvananthapuram","67.7 (2017)"
