"","Average Performance of Students in Language in Class 8, Percent (Female)"
"East Godavari","66.6 (2017)"
"Anantapur","57.6 (2017)"
"Chittoor","52.6 (2017)"
"Krishna","58.4 (2017)"
"Guntur","58.5 (2017)"
"Kurnool","54.9 (2017)"
"Srikakulam","64.4 (2017)"
"Prakasam","62 (2017)"
"Nellore","55.9 (2017)"
"Vizianagaram","55.2 (2017)"
"Visakhapatnam","57.7 (2017)"
"West Godavari","54.4 (2017)"
"Y.S.R.","61.7 (2017)"
