"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Uttarkashi","54.1 (2017)"
"Chamoli","58.8 (2017)"
"Rudraprayag","63.4 (2017)"
"Tehri Garhwal","64.5 (2017)"
"Dehradun","59.9 (2017)"
"Garhwal","67.8 (2017)"
"Pithoragarh","61.9 (2017)"
"Bageshwar","60.3 (2017)"
"Almora","54.8 (2017)"
"Champawat","50.3 (2017)"
"Nainital","58.3 (2017)"
"Udham Singh Nagar","55.3 (2017)"
"Hardwar","57.4 (2017)"
