"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Bankura","52.9 (2017)"
"Jalpaiguri","44.4 (2017)"
"Koch Bihar","50.8 (2017)"
"Dakshin Dinajpur","48.1 (2017)"
"Birbhum","53.1 (2017)"
"Hugli","56 (2017)"
"Haora","57.8 (2017)"
"Maldah","49.5 (2017)"
"Murshidabad","60.2 (2017)"
"Nadia","58.2 (2017)"
"North Twenty Four Parganas","60.4 (2017)"
"Kolkata","66.9 (2017)"
"Paschim Medinipur","61.4 (2017)"
"Purba Medinipur","64.8 (2017)"
"Uttar Dinajpur","40.8 (2017)"
"Puruliya","49.6 (2017)"
"South Twenty Four Parganas","62.7 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
