"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Faridkot","55.3 (2017)"
"Bathinda","42.8 (2017)"
"Amritsar","52 (2017)"
"Barnala","50.4 (2017)"
"Gurdaspur","58.1 (2017)"
"Kapurthala","55.8 (2017)"
"Jalandhar","56.1 (2017)"
"Hoshiarpur","56.7 (2017)"
"Shahid Bhagat Singh Nagar","51.2 (2017)"
"Fatehgarh Sahib","49.9 (2017)"
"Ludhiana","49.2 (2017)"
"Moga","49.5 (2017)"
"Firozpur","52.1 (2017)"
"Muktsar","51.5 (2017)"
"Mansa","46.5 (2017)"
"Patiala","51.9 (2017)"
"Tarn Taran","46.8 (2017)"
"Rupnagar","49.5 (2017)"
"Sahibzada Ajit Singh Nagar","46.4 (2017)"
"Sangrur","45.4 (2017)"
