"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Senapati","54.9 (2017)"
"Tamenglong","58.7 (2017)"
"Churachandpur","58.9 (2017)"
"Bishnupur","50.8 (2017)"
"Thoubal","47.2 (2017)"
"Imphal West","48.9 (2017)"
"Imphal East","48.2 (2017)"
"Ukhrul","56.8 (2017)"
"Chandel","49.5 (2017)"
