"","Average Performance of Students in Language in Class 8, Percent (Female)"
"North Sikkim","52.3 (2017)"
"West Sikkim","51.5 (2017)"
"South Sikkim","49.8 (2017)"
"East Sikkim","52.4 (2017)"
