"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Mon","42 (2017)"
"Mokokchung","55.5 (2017)"
"Zunheboto","16.9 (2017)"
"Wokha","61.3 (2017)"
"Dimapur","45.7 (2017)"
"Phek","53.4 (2017)"
"Tuensang","21.3 (2017)"
"Longleng","35.5 (2017)"
"Kiphire","48.9 (2017)"
"Kohima","55.8 (2017)"
"Peren","50.9 (2017)"
