"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Adilabad","43.6 (2017)"
"Nizamabad","54.6 (2017)"
"Mancherial","58.1 (2017)"
"Nirmal","54.9 (2017)"
"Peddapalli","54.8 (2017)"
"Mahabubabad","47.6 (2017)"
"Komaram Bheem","53.1 (2017)"
"Jagtial","53.4 (2017)"
"Jayashankar","52.6 (2017)"
"Bhadradri","53.2 (2017)"
