"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Mamit","42.1 (2017)"
"Kolasib","52.2 (2017)"
"Aizawl","47.5 (2017)"
"Champhai","40.2 (2017)"
"Serchhip","45.1 (2017)"
"Lunglei","49.4 (2017)"
"Lawngtlai","37.4 (2017)"
"Saiha","41.6 (2017)"
