"","Average Performance of Students in Language in Class 8, Percent (Total)"
"North Sikkim","52.4 (2017)"
"West Sikkim","50.7 (2017)"
"South Sikkim","49.7 (2017)"
"East Sikkim","50.8 (2017)"
