"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Koriya","51.8 (2017)"
"Jashpur","52 (2017)"
"Raigarh","55.5 (2017)"
"Korba","53.8 (2017)"
"Janjgir-Champa","50.1 (2017)"
"Bilaspur","45 (2017)"
"Kabeerdham","57.2 (2017)"
"Durg","54.8 (2017)"
"Raipur","51 (2017)"
"Mahasamund","51 (2017)"
"Dhamtari","50.7 (2017)"
"Bastar","52.9 (2017)"
"Narayanpur","52 (2017)"
"Dantewada","47.5 (2017)"
"Bijapur","48.2 (2017)"
"Surguja","72.1 (2017)"
"Rajnandgaon","54.2 (2017)"
"Uttar Bastar Kanker","49.4 (2017)"
