"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Bankura","51.2 (2017)"
"Jalpaiguri","44.3 (2017)"
"Koch Bihar","48.8 (2017)"
"Dakshin Dinajpur","50.2 (2017)"
"Birbhum","52.1 (2017)"
"Hugli","55.8 (2017)"
"Haora","55.9 (2017)"
"Maldah","51.8 (2017)"
"Murshidabad","59.2 (2017)"
"Nadia","57.3 (2017)"
"North Twenty Four Parganas","56.8 (2017)"
"Kolkata","67.2 (2017)"
"Paschim Medinipur","61.4 (2017)"
"Purba Medinipur","64 (2017)"
"Uttar Dinajpur","41.8 (2017)"
"Puruliya","48.1 (2017)"
"South Twenty Four Parganas","62.2 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
