"","Average Performance of Students in Language in Class 8, Percent (Male)"
"East Godavari","66.7 (2017)"
"Anantapur","57 (2017)"
"Chittoor","53.5 (2017)"
"Krishna","59.2 (2017)"
"Guntur","58.7 (2017)"
"Kurnool","53.8 (2017)"
"Srikakulam","61.7 (2017)"
"Prakasam","63.2 (2017)"
"Nellore","56.7 (2017)"
"Vizianagaram","53.9 (2017)"
"Visakhapatnam","51.9 (2017)"
"West Godavari","51.4 (2017)"
"Y.S.R.","60.7 (2017)"
