"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Nicobar Islands","44.3 (2017)"
"North and Middle Andaman","52.5 (2017)"
"South Andaman","52.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
