"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Adilabad","42.4 (2017)"
"Nizamabad","53.9 (2017)"
"Mancherial","56.2 (2017)"
"Nirmal","54.2 (2017)"
"Peddapalli","52 (2017)"
"Mahabubabad","47.8 (2017)"
"Komaram Bheem","53.8 (2017)"
"Jagtial","52 (2017)"
"Jayashankar","51.2 (2017)"
"Bhadradri","52.9 (2017)"
