"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Nicobar Islands","44.3 (2017)"
"North and Middle Andaman","50.1 (2017)"
"South Andaman","49.3 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
