"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Uttarkashi","56.6 (2017)"
"Chamoli","56.4 (2017)"
"Rudraprayag","62.7 (2017)"
"Tehri Garhwal","66.3 (2017)"
"Dehradun","57.1 (2017)"
"Garhwal","66.2 (2017)"
"Pithoragarh","64.1 (2017)"
"Bageshwar","61.1 (2017)"
"Almora","56.9 (2017)"
"Champawat","53.7 (2017)"
"Nainital","57.5 (2017)"
"Udham Singh Nagar","58.1 (2017)"
"Hardwar","60.4 (2017)"
