"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Senapati","55.4 (2017)"
"Tamenglong","58.4 (2017)"
"Churachandpur","57.2 (2017)"
"Bishnupur","50.9 (2017)"
"Thoubal","46.1 (2017)"
"Imphal West","49.2 (2017)"
"Imphal East","49.1 (2017)"
"Ukhrul","58.6 (2017)"
"Chandel","49.1 (2017)"
