"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Uttarkashi","55.2 (2017)"
"Chamoli","57.7 (2017)"
"Rudraprayag","63.1 (2017)"
"Tehri Garhwal","65.4 (2017)"
"Dehradun","58.7 (2017)"
"Garhwal","67 (2017)"
"Pithoragarh","62.9 (2017)"
"Bageshwar","60.7 (2017)"
"Almora","55.7 (2017)"
"Champawat","51.8 (2017)"
"Nainital","57.9 (2017)"
"Udham Singh Nagar","56.5 (2017)"
"Hardwar","58.8 (2017)"
