"","Average Performance of Students in Language in Class 8, Percent (Female)"
"East Garo Hills","38.2 (2017)"
"East Khasi Hills","54.5 (2017)"
"Jaintia Hills","45.3 (2017)"
"West Garo Hills","43.6 (2017)"
"South Garo Hills","40.1 (2017)"
"West Khasi Hills","55.2 (2017)"
"Ribhoi",""
