"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Badgam","48.7 (2017)"
"Baramula","46.5 (2017)"
"Bandipore","43.4 (2017)"
"Anantnag","32.9 (2017)"
"Doda","44 (2017)"
"Kupwara","52.4 (2017)"
"Leh(Ladakh)","44.6 (2017)"
"Kargil","27.7 (2017)"
"Punch","47.6 (2017)"
"Rajouri","43.5 (2017)"
"Kathua","39.5 (2017)"
"Srinagar","47.4 (2017)"
"Ganderbal","54.1 (2017)"
"Pulwama","23.3 (2017)"
"Shupiyan","16.6 (2017)"
"Kulgam","18.7 (2017)"
"Ramban","46.8 (2017)"
"Kishtwar","55.1 (2017)"
"Udhampur","43.4 (2017)"
"Reasi","34.1 (2017)"
"Jammu","38.1 (2017)"
"Samba","47.4 (2017)"
"Jammu & Kashmir - NA",""
