"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Senapati","54.4 (2017)"
"Tamenglong","59.2 (2017)"
"Churachandpur","61.2 (2017)"
"Bishnupur","50.6 (2017)"
"Thoubal","48.7 (2017)"
"Imphal West","48.5 (2017)"
"Imphal East","47.1 (2017)"
"Ukhrul","54.3 (2017)"
"Chandel","49.8 (2017)"
