"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Mon","41.7 (2017)"
"Mokokchung","56 (2017)"
"Zunheboto","16.7 (2017)"
"Wokha","54.2 (2017)"
"Dimapur","46.3 (2017)"
"Phek","54.1 (2017)"
"Tuensang","21.1 (2017)"
"Longleng","34.7 (2017)"
"Kiphire","50.1 (2017)"
"Kohima","55.6 (2017)"
"Peren","48.7 (2017)"
