"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Faridkot","57.6 (2017)"
"Bathinda","47.5 (2017)"
"Amritsar","55.1 (2017)"
"Barnala","53.7 (2017)"
"Gurdaspur","58.8 (2017)"
"Kapurthala","58.5 (2017)"
"Jalandhar","55.9 (2017)"
"Hoshiarpur","59.3 (2017)"
"Shahid Bhagat Singh Nagar","52.8 (2017)"
"Fatehgarh Sahib","51.7 (2017)"
"Ludhiana","50.5 (2017)"
"Moga","50.5 (2017)"
"Firozpur","53.4 (2017)"
"Muktsar","55.3 (2017)"
"Mansa","47.8 (2017)"
"Patiala","53.1 (2017)"
"Tarn Taran","48.4 (2017)"
"Rupnagar","52.1 (2017)"
"Sahibzada Ajit Singh Nagar","49.5 (2017)"
"Sangrur","47.6 (2017)"
