"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Panchkula","60.1 (2017)"
"Ambala","56.9 (2017)"
"Kurukshetra","56.9 (2017)"
"Kaithal","57.4 (2017)"
"Karnal","50.7 (2017)"
"Panipat","59.6 (2017)"
"Sonipat","51.9 (2017)"
"Jind","54 (2017)"
"Fatehabad","59.8 (2017)"
"Sirsa","59.1 (2017)"
"Hisar","58.5 (2017)"
"Bhiwani","54.2 (2017)"
"Rohtak","55.8 (2017)"
"Jhajjar","60.5 (2017)"
"Mahendragarh","61.2 (2017)"
"Rewari","60.7 (2017)"
"Gurgaon","61 (2017)"
"Mewat","40.3 (2017)"
"Faridabad","57.3 (2017)"
"Palwal","53.5 (2017)"
"Yamunanagar","54.1 (2017)"
