"","Average Performance of Students in Language in Class 5, Percent (Total)"
"North Sikkim","54.9 (2017)"
"West Sikkim","54.4 (2017)"
"South Sikkim","49.1 (2017)"
"East Sikkim","45.2 (2017)"
