"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Koriya","50.8 (2017)"
"Jashpur","60.2 (2017)"
"Raigarh","56.6 (2017)"
"Korba","61.6 (2017)"
"Janjgir-Champa","49.9 (2017)"
"Bilaspur","51.6 (2017)"
"Kabeerdham","56.6 (2017)"
"Durg","59.4 (2017)"
"Raipur","52 (2017)"
"Mahasamund","51.7 (2017)"
"Dhamtari","47.5 (2017)"
"Bastar","53.4 (2017)"
"Narayanpur","58.9 (2017)"
"Dantewada","46.1 (2017)"
"Bijapur","47.7 (2017)"
"Surguja","67.7 (2017)"
"Rajnandgaon","55.3 (2017)"
"Uttar Bastar Kanker","48.8 (2017)"
