"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Nicobar Islands","51.7 (2017)"
"North and Middle Andaman","51.1 (2017)"
"South Andaman","49.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
