"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Badgam","63.3 (2017)"
"Baramula","64.2 (2017)"
"Bandipore","56.5 (2017)"
"Anantnag","57.1 (2017)"
"Doda","44.4 (2017)"
"Kupwara","61.2 (2017)"
"Leh(Ladakh)","45.8 (2017)"
"Kargil","48.7 (2017)"
"Punch","50.1 (2017)"
"Rajouri","46.4 (2017)"
"Kathua","46.3 (2017)"
"Srinagar","64.9 (2017)"
"Ganderbal","53.2 (2017)"
"Pulwama","60.8 (2017)"
"Shupiyan","65.1 (2017)"
"Kulgam","63.2 (2017)"
"Ramban","60.7 (2017)"
"Kishtwar","45.6 (2017)"
"Udhampur","44.8 (2017)"
"Reasi","48.1 (2017)"
"Jammu","51.1 (2017)"
"Samba","57.6 (2017)"
"Jammu & Kashmir - NA",""
