"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Adilabad","43 (2017)"
"Nizamabad","60.4 (2017)"
"Mancherial","65.4 (2017)"
"Nirmal","54.4 (2017)"
"Peddapalli","55.8 (2017)"
"Mahabubabad","51.7 (2017)"
"Komaram Bheem","49.8 (2017)"
"Jagtial","53.2 (2017)"
"Jayashankar","53.1 (2017)"
"Bhadradri","55.2 (2017)"
