"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Tawang","47.6 (2017)"
"West Kameng","41.3 (2017)"
"East Kameng","44 (2017)"
"Papum Pare","47.2 (2017)"
"Upper Subansiri","35.9 (2017)"
"West Siang","52.3 (2017)"
"East Siang","36.7 (2017)"
"Upper Siang","39.5 (2017)"
"Changlang","31.6 (2017)"
"Tirap","56.3 (2017)"
"Lower Subansiri","49 (2017)"
"Kurung Kumey","60.4 (2017)"
"Dibang Valley","43.2 (2017)"
"Lower Dibang Valley","33.9 (2017)"
"Lohit","50.1 (2017)"
"Anjaw","43.8 (2017)"
