"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Nicobar Islands","53.7 (2017)"
"North and Middle Andaman","57.8 (2017)"
"South Andaman","51.8 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
