"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Chamba","57.8 (2017)"
"Kangra","69.9 (2017)"
"Lahul & Spiti","59.8 (2017)"
"Kullu","59.1 (2017)"
"Mandi","65.4 (2017)"
"Hamirpur","67.6 (2017)"
"Una","58 (2017)"
"Bilaspur","64.3 (2017)"
"Solan","60.6 (2017)"
"Sirmaur","48 (2017)"
"Shimla","58.9 (2017)"
"Kinnaur","61.9 (2017)"
