"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Kasaragod","64.7 (2017)"
"Kannur","66.5 (2017)"
"Kozhikode","67 (2017)"
"Malappuram","79 (2017)"
"Ernakulam","67.8 (2017)"
"Idukki","66.8 (2017)"
"Kottayam","63.5 (2017)"
"Alappuzha","66.9 (2017)"
"Kollam","69.9 (2017)"
"Wayanad","63.8 (2017)"
"Palakkad","59.8 (2017)"
"Thrissur","70.4 (2017)"
"Pathanamthitta","74.6 (2017)"
"Thiruvananthapuram","81.7 (2017)"
