"","Average Performance of Students in Language in Class 5, Percent (Female)"
"North Sikkim","54.3 (2017)"
"West Sikkim","53.8 (2017)"
"South Sikkim","50.3 (2017)"
"East Sikkim","46.3 (2017)"
