"","Average Performance of Students in Language in Class 5, Percent (Male)"
"East Godavari","73.7 (2017)"
"Anantapur","64 (2017)"
"Chittoor","53.6 (2017)"
"Krishna","65.8 (2017)"
"Guntur","74.1 (2017)"
"Kurnool","64.6 (2017)"
"Srikakulam","69.1 (2017)"
"Prakasam","75 (2017)"
"Nellore","65.2 (2017)"
"Vizianagaram","63.7 (2017)"
"Visakhapatnam","63.7 (2017)"
"West Godavari","63 (2017)"
"Y.S.R.","73.5 (2017)"
