"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Mon","39.1 (2017)"
"Mokokchung","58.1 (2017)"
"Zunheboto","67 (2017)"
"Wokha","66.8 (2017)"
"Dimapur","47.7 (2017)"
"Phek","55.9 (2017)"
"Tuensang","53.5 (2017)"
"Longleng","52.9 (2017)"
"Kiphire","53.7 (2017)"
"Kohima","50.4 (2017)"
"Peren","46.6 (2017)"
