"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Chamba","55.2 (2017)"
"Kangra","71.3 (2017)"
"Lahul & Spiti","64.5 (2017)"
"Kullu","61.2 (2017)"
"Mandi","69.8 (2017)"
"Hamirpur","64.6 (2017)"
"Una","61.9 (2017)"
"Bilaspur","66.6 (2017)"
"Solan","62.2 (2017)"
"Sirmaur","49.4 (2017)"
"Shimla","60.7 (2017)"
"Kinnaur","64.1 (2017)"
