"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Kasaragod","61.7 (2017)"
"Kannur","63.9 (2017)"
"Kozhikode","64.3 (2017)"
"Malappuram","77.9 (2017)"
"Ernakulam","66.9 (2017)"
"Idukki","64.7 (2017)"
"Kottayam","62.6 (2017)"
"Alappuzha","64.9 (2017)"
"Kollam","68.5 (2017)"
"Wayanad","63.4 (2017)"
"Palakkad","58 (2017)"
"Thrissur","68.1 (2017)"
"Pathanamthitta","73.8 (2017)"
"Thiruvananthapuram","80.4 (2017)"
