"","Average Performance of Students in Language in Class 5, Percent (Male)"
"North Sikkim","55.4 (2017)"
"West Sikkim","55.1 (2017)"
"South Sikkim","47.8 (2017)"
"East Sikkim","44.1 (2017)"
