"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Mamit","53.2 (2017)"
"Kolasib","56.3 (2017)"
"Aizawl","58.8 (2017)"
"Champhai","54.7 (2017)"
"Serchhip","50.9 (2017)"
"Lunglei","52.6 (2017)"
"Lawngtlai","40.6 (2017)"
"Saiha","44.9 (2017)"
