"","Average Performance of Students in Language in Class 5, Percent (Total)"
"East Garo Hills","38 (2017)"
"East Khasi Hills","54.1 (2017)"
"Jaintia Hills","41.2 (2017)"
"West Garo Hills","51.2 (2017)"
"South Garo Hills","45.7 (2017)"
"West Khasi Hills","50.8 (2017)"
"Ribhoi",""
