"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Mon","40.3 (2017)"
"Mokokchung","58.7 (2017)"
"Zunheboto","65.9 (2017)"
"Wokha","68.3 (2017)"
"Dimapur","46.6 (2017)"
"Phek","56 (2017)"
"Tuensang","55.8 (2017)"
"Longleng","51.2 (2017)"
"Kiphire","52.8 (2017)"
"Kohima","50.9 (2017)"
"Peren","47.2 (2017)"
