"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Badgam","62.5 (2017)"
"Baramula","63.5 (2017)"
"Bandipore","54.5 (2017)"
"Anantnag","57.2 (2017)"
"Doda","45.9 (2017)"
"Kupwara","59.4 (2017)"
"Leh(Ladakh)","45.7 (2017)"
"Kargil","46.1 (2017)"
"Punch","49.2 (2017)"
"Rajouri","47.7 (2017)"
"Kathua","45.4 (2017)"
"Srinagar","64.2 (2017)"
"Ganderbal","54 (2017)"
"Pulwama","60.8 (2017)"
"Shupiyan","63.7 (2017)"
"Kulgam","60.3 (2017)"
"Ramban","58.2 (2017)"
"Kishtwar","47.1 (2017)"
"Udhampur","45.2 (2017)"
"Reasi","46.7 (2017)"
"Jammu","50.7 (2017)"
"Samba","58.5 (2017)"
"Jammu & Kashmir - NA",""
