"","Average Performance of Students in Language in Class 5, Percent (Male)"
"East Garo Hills","36.9 (2017)"
"East Khasi Hills","53.3 (2017)"
"Jaintia Hills","40.5 (2017)"
"West Garo Hills","51.9 (2017)"
"South Garo Hills","45.6 (2017)"
"West Khasi Hills","48.9 (2017)"
"Ribhoi",""
