"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Barpeta","65.2 (2017)"
"Cachar","64.7 (2017)"
"Bongaigaon","67.5 (2017)"
"Baksa","60.2 (2017)"
"Kokrajhar","66.1 (2017)"
"Dhubri","62.4 (2017)"
"Goalpara","55.4 (2017)"
"Morigaon","69.9 (2017)"
"Nagaon","69.9 (2017)"
"Sonitpur","53.4 (2017)"
"Lakhimpur","62.6 (2017)"
"Dhemaji","46.4 (2017)"
"Tinsukia","54.5 (2017)"
"Dibrugarh","50.1 (2017)"
"Sivasagar","57.4 (2017)"
"Jorhat","50.9 (2017)"
"Golaghat","53.4 (2017)"
"Karbi Anglong","51.1 (2017)"
"Dima Hasao","60.7 (2017)"
"Karimganj","65.7 (2017)"
"Hailakandi","67.4 (2017)"
"Chirang","57.4 (2017)"
"Kamrup","57.2 (2017)"
"Kamrup Metropolitan","59.1 (2017)"
"Nalbari","58.4 (2017)"
"Darrang","61 (2017)"
"Udalguri","59.6 (2017)"
