"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Uttarkashi","57.7 (2017)"
"Chamoli","56.2 (2017)"
"Rudraprayag","64.6 (2017)"
"Tehri Garhwal","70.7 (2017)"
"Dehradun","61.6 (2017)"
"Garhwal","71.8 (2017)"
"Pithoragarh","63 (2017)"
"Bageshwar","70.2 (2017)"
"Almora","62.2 (2017)"
"Champawat","56.4 (2017)"
"Nainital","66.1 (2017)"
"Udham Singh Nagar","65.1 (2017)"
"Hardwar","69.4 (2017)"
