"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Mamit","50.5 (2017)"
"Kolasib","53.5 (2017)"
"Aizawl","54.6 (2017)"
"Champhai","51.7 (2017)"
"Serchhip","50.8 (2017)"
"Lunglei","51.8 (2017)"
"Lawngtlai","38.3 (2017)"
"Saiha","40.8 (2017)"
