"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Mamit","51.9 (2017)"
"Kolasib","54.9 (2017)"
"Aizawl","56.9 (2017)"
"Champhai","53.3 (2017)"
"Serchhip","50.9 (2017)"
"Lunglei","52.2 (2017)"
"Lawngtlai","39.4 (2017)"
"Saiha","43.2 (2017)"
