"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Nicobar Islands","52.7 (2017)"
"North and Middle Andaman","54.5 (2017)"
"South Andaman","50.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
