"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Senapati","63.6 (2017)"
"Tamenglong","61.6 (2017)"
"Churachandpur","59.2 (2017)"
"Bishnupur","55.2 (2017)"
"Thoubal","57.8 (2017)"
"Imphal West","50.2 (2017)"
"Imphal East","56.2 (2017)"
"Ukhrul","63.6 (2017)"
"Chandel","64.8 (2017)"
