"","Average Performance of Students in Language in Class 5, Percent (Total)"
"East Godavari","74.5 (2017)"
"Anantapur","64.5 (2017)"
"Chittoor","54.9 (2017)"
"Krishna","67 (2017)"
"Guntur","71.9 (2017)"
"Kurnool","66.6 (2017)"
"Srikakulam","66.9 (2017)"
"Prakasam","69 (2017)"
"Nellore","64 (2017)"
"Vizianagaram","64.2 (2017)"
"Visakhapatnam","62.2 (2017)"
"West Godavari","65.4 (2017)"
"Y.S.R.","74.6 (2017)"
