"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Uttarkashi","58.3 (2017)"
"Chamoli","59.1 (2017)"
"Rudraprayag","64.7 (2017)"
"Tehri Garhwal","71.5 (2017)"
"Dehradun","62 (2017)"
"Garhwal","69.8 (2017)"
"Pithoragarh","63.1 (2017)"
"Bageshwar","69.9 (2017)"
"Almora","63 (2017)"
"Champawat","57.7 (2017)"
"Nainital","65.6 (2017)"
"Udham Singh Nagar","65.3 (2017)"
"Hardwar","69.5 (2017)"
