"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Mon","41.1 (2017)"
"Mokokchung","59.4 (2017)"
"Zunheboto","64.9 (2017)"
"Wokha","69.6 (2017)"
"Dimapur","45.8 (2017)"
"Phek","56 (2017)"
"Tuensang","57.6 (2017)"
"Longleng","50.2 (2017)"
"Kiphire","52.1 (2017)"
"Kohima","51.3 (2017)"
"Peren","47.6 (2017)"
