"","Average Performance of Students in Language in Class 5, Percent (Female)"
"East Garo Hills","39 (2017)"
"East Khasi Hills","54.7 (2017)"
"Jaintia Hills","41.9 (2017)"
"West Garo Hills","50.8 (2017)"
"South Garo Hills","45.8 (2017)"
"West Khasi Hills","52.9 (2017)"
"Ribhoi",""
