"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Senapati","62.7 (2017)"
"Tamenglong","65.5 (2017)"
"Churachandpur","59.3 (2017)"
"Bishnupur","54.8 (2017)"
"Thoubal","57.1 (2017)"
"Imphal West","51 (2017)"
"Imphal East","57 (2017)"
"Ukhrul","58.5 (2017)"
"Chandel","66.4 (2017)"
