"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Senapati","63.1 (2017)"
"Tamenglong","63.5 (2017)"
"Churachandpur","59.3 (2017)"
"Bishnupur","55 (2017)"
"Thoubal","57.5 (2017)"
"Imphal West","50.6 (2017)"
"Imphal East","56.5 (2017)"
"Ukhrul","61.2 (2017)"
"Chandel","65.7 (2017)"
