"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Adilabad","43.7 (2017)"
"Nizamabad","60.9 (2017)"
"Mancherial","67.3 (2017)"
"Nirmal","53.8 (2017)"
"Peddapalli","55.4 (2017)"
"Mahabubabad","50.6 (2017)"
"Komaram Bheem","51.1 (2017)"
"Jagtial","52.6 (2017)"
"Jayashankar","53.1 (2017)"
"Bhadradri","58.4 (2017)"
