"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Uttarkashi","57.2 (2017)"
"Chamoli","53.8 (2017)"
"Rudraprayag","64.5 (2017)"
"Tehri Garhwal","69.9 (2017)"
"Dehradun","61.3 (2017)"
"Garhwal","73.8 (2017)"
"Pithoragarh","62.9 (2017)"
"Bageshwar","70.5 (2017)"
"Almora","61.6 (2017)"
"Champawat","55.3 (2017)"
"Nainital","66.7 (2017)"
"Udham Singh Nagar","64.9 (2017)"
"Hardwar","69.3 (2017)"
