"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Chamba","56.4 (2017)"
"Kangra","70.6 (2017)"
"Lahul & Spiti","62.8 (2017)"
"Kullu","60.2 (2017)"
"Mandi","67.7 (2017)"
"Hamirpur","66.2 (2017)"
"Una","60 (2017)"
"Bilaspur","65.5 (2017)"
"Solan","61.4 (2017)"
"Sirmaur","48.7 (2017)"
"Shimla","59.7 (2017)"
"Kinnaur","63.1 (2017)"
