"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Tawang","50 (2017)"
"West Kameng","41.1 (2017)"
"East Kameng","45 (2017)"
"Papum Pare","48.6 (2017)"
"Upper Subansiri","37.3 (2017)"
"West Siang","52.1 (2017)"
"East Siang","37 (2017)"
"Upper Siang","40.3 (2017)"
"Changlang","31.4 (2017)"
"Tirap","55.8 (2017)"
"Lower Subansiri","48.6 (2017)"
"Kurung Kumey","58 (2017)"
"Dibang Valley","42.9 (2017)"
"Lower Dibang Valley","33.4 (2017)"
"Lohit","47.4 (2017)"
"Anjaw","46.2 (2017)"
