"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Kasaragod","67.6 (2017)"
"Kannur","69.2 (2017)"
"Kozhikode","69.9 (2017)"
"Malappuram","80 (2017)"
"Ernakulam","68.7 (2017)"
"Idukki","69.1 (2017)"
"Kottayam","64.5 (2017)"
"Alappuzha","69.3 (2017)"
"Kollam","71.2 (2017)"
"Wayanad","64.2 (2017)"
"Palakkad","61.9 (2017)"
"Thrissur","72.5 (2017)"
"Pathanamthitta","75.6 (2017)"
"Thiruvananthapuram","83 (2017)"
